Technology,Plan,Year,Capacity_MW
Import,PDP8,2030,5000
Import,PDP8,2031,5270.6
Import,PDP8,2032,5541.2
Import,PDP8,2033,5811.8
Import,PDP8,2034,6082.4
Import,PDP8,2035,6353
Import,PDP8,2036,6623.6
Import,PDP8,2037,6894.2
Import,PDP8,2038,7164.8
Import,PDP8,2039,7435.4
Import,PDP8,2040,7706
Import,PDP8,2041,7976.6
Import,PDP8,2042,8247.2
Import,PDP8,2043,8517.8
Import,PDP8,2044,8788.4
Import,PDP8,2045,9059
Import,PDP8,2046,9329.6
Import,PDP8,2047,9600.2
Import,PDP8,2048,9870.8
Import,PDP8,2049,10141.4
Import,PDP8,2050,10412
LNG,PDP8,2000,NA
LNG,PDP8,2001,NA
LNG,PDP8,2002,NA
LNG,PDP8,2003,NA
LNG,PDP8,2004,NA
LNG,PDP8,2005,NA
LNG,PDP8,2006,NA
LNG,PDP8,2007,NA
LNG,PDP8,2008,NA
LNG,PDP8,2009,NA
LNG,PDP8,2010,NA
LNG,PDP8,2011,NA
LNG,PDP8,2012,NA
LNG,PDP8,2013,NA
LNG,PDP8,2014,NA
LNG,PDP8,2015,NA
LNG,PDP8,2016,NA
LNG,PDP8,2017,NA
LNG,PDP8,2018,NA
